Bin Index,Time,Height offset in px,Height in px,Events total,Events per trial,Events per second,Sensory input
1,0,0,18.461,7,0.4375,17.5,0
2,25,0.376,4.855,2,0.125,5,0
3,50,0.376,10.091,4,0.25,10,0
4,75,0.376,7.52,3,0.1875,7.5,0
5,100,0.376,10.091,4,0.25,10,0
6,125,0.376,4.855,2,0.125,5,0
7,150,0.376,4.855,2,0.125,5,0
8,175,0.376,10.091,4,0.25,10,0
9,200,0.376,10.091,4,0.25,10,0
10,225,0.376,15.424,6,0.375,15,0
11,250,0.376,15.424,6,0.375,15,0
12,275,0.376,10.091,4,0.25,10,0
13,300,0.376,10.091,4,0.25,10,0
14,325,0.376,4.855,2,0.125,5,0
15,350,0.376,7.52,3,0.1875,7.5,0
16,375,0.376,2.188,1,0.0625,2.5,0
17,400,0.376,15.424,6,0.375,15,0
18,425,0.376,7.52,3,0.1875,7.5,0
19,450,0.376,10.091,4,0.25,10,0
20,475,0.376,15.424,6,0.375,15,0
21,500,0.376,23.419,9,0.5625,22.5,0
22,525,0.376,2.188,1,0.0625,2.5,1
23,550,0.376,47.22,18,1.125,45,1
24,575,0.376,78.925,30,1.875,75,1
25,600,0.376,57.789,22,1.375,55,0
26,625,0.376,23.419,9,0.5625,22.5,0
27,650,0.376,7.52,3,0.1875,7.5,0
28,675,0.376,7.52,3,0.1875,7.5,0
29,700,0.376,4.855,2,0.125,5,0
30,725,0.376,15.424,6,0.375,15,0
31,750,0.376,4.855,2,0.125,5,0
32,775,0.376,4.855,2,0.125,5,0
33,800,0.376,0,0,0,0,0
34,825,0.376,4.855,2,0.125,5,0
35,850,0.376,0,0,0,0,0
36,875,0.376,4.855,2,0.125,5,0
37,900,0.376,0,0,0,0,0
38,925,0.376,2.112,1,0.0625,2.5,0
39,950,0.376,10.091,4,0.25,10,0
40,975,0.376,4.855,2,0.125,5,0
41,1000,0.376,18.087,7,0.4375,17.5,0
42,1025,0.376,7.52,3,0.1875,7.5,0
43,1050,0.376,12.852,5,0.3125,12.5,0
44,1075,0.376,12.852,5,0.3125,12.5,0
45,1100,0.376,12.852,5,0.3125,12.5,0
46,1125,0.376,26.084,10,0.625,25,0
47,1150,0.376,18.087,7,0.4375,17.5,0
48,1175,0.376,15.424,6,0.375,15,0
49,1200,0.376,15.424,6,0.375,15,0
50,1225,0.376,2.188,1,0.0625,2.5,0
51,1250,0.376,4.855,2,0.125,5,0
52,1275,0.376,15.424,6,0.375,15,0
53,1300,0.376,10.091,4,0.25,10,0
54,1325,0.376,4.857,2,0.125,5,0
55,1350,0.376,0,0,0,0,0
56,1375,0.376,2.188,1,0.0625,2.5,0
57,1400,0.376,4.855,2,0.125,5,0
58,1425,0.376,2.188,1,0.0625,2.5,0
59,1450,0.376,20.753,8,0.5,20,0
60,1475,0.376,18.087,7,0.4375,17.5,0
61,1500,0.376,7.52,3,0.1875,7.5,0
62,1525,0.376,12.852,5,0.3125,12.5,0
63,1550,0.376,4.855,2,0.125,5,0
64,1575,0.376,4.855,2,0.125,5,0
65,1600,0.376,12.852,5,0.3125,12.5,0
66,1625,0.376,10.091,4,0.25,10,0
67,1650,0.376,12.852,5,0.3125,12.5,0
68,1675,0.376,10.091,4,0.25,10,0
69,1700,0.376,4.855,2,0.125,5,0
70,1725,0.376,0,0,0,0,0
71,1750,0.376,0,0,0,0,0
72,1775,0.376,7.52,3,0.1875,7.5,0
73,1800,0.376,7.52,3,0.1875,7.5,0
74,1825,0.376,2.188,1,0.0625,2.5,0
75,1850,0.376,2.188,1,0.0625,2.5,0
76,1875,0.376,15.424,6,0.375,15,0
77,1900,0.376,4.855,2,0.125,5,0
78,1925,0.376,10.091,4,0.25,10,0
79,1950,0.376,0,0,0,0,0
80,1975,0.376,0,0,0,0,0
